                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2212,                 2.8241,                  1.186,                0.05506,                0.73392,                0.35056,                0.22651,                0.84148,                    inf,                0.93574,             0.00020006,             0.00020006,             0.00020006
                      2,                0.62919,                 0.7767,                0.91561,                0.92097,                 0.7373,                0.87794,                0.67299,                0.80507,                 1.4892,                0.94552,             0.00041031,             0.00041031,             0.00041031
                      3,                  0.493,                0.54964,                0.86679,                0.83462,                0.79345,                0.86402,                0.69049,                0.71623,                 1.0172,                0.92175,             0.00061631,             0.00061631,             0.00061631
                      4,                0.40859,                0.57177,                0.83479,                0.83675,                0.88229,                0.90935,                0.70433,                0.66953,                 1.0901,                0.91122,             0.00081807,             0.00081807,             0.00081807
                      5,                0.39596,                0.58754,                0.82532,                0.87377,                0.98107,                0.91089,                 0.7594,                0.48183,                 0.9778,                0.84853,              0.0010156,              0.0010156,              0.0010156
                      6,                0.31416,                0.55907,                0.80631,                 0.9215,                0.95446,                0.95456,                  0.793,                0.39605,                0.81209,                0.82258,              0.0012089,              0.0012089,              0.0012089
                      7,                  0.286,                 0.5509,                0.79691,                 0.9292,                 0.9413,                 0.9603,                0.79043,                0.38534,                0.78399,                0.83422,              0.0013441,              0.0013441,              0.0013441
                      8,                0.26599,                0.52634,                0.79114,                0.88904,                0.91166,                0.93023,                0.79508,                0.35995,                 0.7237,                0.81869,              0.0013441,              0.0013441,              0.0013441
                      9,                0.24736,                0.49948,                0.78448,                0.90037,                0.92518,                0.94001,                 0.7975,                0.37039,                0.61671,                0.82949,                0.00133,                0.00133,                0.00133
                     10,                0.23746,                0.48022,                0.78148,                 0.9269,                0.93982,                0.95845,                0.81217,                0.34434,                0.62701,                0.83728,              0.0013158,              0.0013158,              0.0013158
                     11,                0.21289,                0.45524,                0.77913,                0.89343,                0.88514,                0.94833,                0.77752,                0.48204,                0.82451,                0.94117,              0.0013017,              0.0013017,              0.0013017
                     12,                0.23199,                0.45729,                0.78071,                0.67995,                0.77949,                0.89245,                0.71123,                0.62085,                 1.1397,                 1.0588,              0.0012875,              0.0012875,              0.0012875
                     13,                0.21599,                0.43336,                0.77799,                0.88191,                0.89603,                0.93877,                0.79503,                0.40021,                0.69335,                0.87674,              0.0012734,              0.0012734,              0.0012734
                     14,                  0.201,                0.40024,                0.77615,                0.92611,                0.89615,                0.94648,                0.80173,                0.36639,                0.66106,                0.85647,              0.0012592,              0.0012592,              0.0012592
